Year,Month,Station_Code,Station_Name,Latitude,Longitude,NDVI
2024,10,408,동대문,37.58463,127.06036,0.09605134
2024,10,409,중랑,37.58551,127.08682,0.1603125
2024,10,410,기상청,37.4933,126.91746,0.14025839
2024,10,411,마포,37.55165,126.92915,0.27083334
2024,10,412,서대문,37.57047,126.94078,0.32561606
2024,10,413,광진,37.53344,127.08601,0.18766935
2024,10,414,성북,37.61134,126.99981,0.13279402
2024,10,415,용산,37.51955,126.97629,0.16892436
2024,10,416,은평,37.64647,126.94273,0.20121379
2024,10,417,금천,37.46551,126.90016,0.12661
2024,10,418,한강,37.52489,126.93904,0.026662832
2024,10,419,중구,37.55236,126.98736,0.13107751
2024,10,421,성동,37.54721,127.03885,0.13257691
2024,10,422,북악산,37.60344,126.98437,0.165282
2024,10,423,구로,37.49328,126.82629,0.17793177
2024,10,424,강북,37.63801,127.00981,0.14728825
2024,10,425,남현,37.46347,126.98154,0.24895082
2024,10,509,관악,37.45284,126.95015,0.2575738
2024,10,510,영등포,37.52706,126.90705,0.13260502
2024,10,889,현충원,37.50036,126.97652,0.24311426
2014,1,400,강남,37.4982,127.08162,0.061251316
2014,1,401,서초,37.48462,127.02601,0.07611697
2014,1,402,강동,37.55556,127.14498,0.07907311
2014,1,403,송파,37.51151,127.0967,0.012574341
2014,1,404,강서,37.5739,126.82953,0.07102427
2014,1,405,양천,37.52823,126.87937,0.045943838
2014,1,406,도봉,37.66557,127.03042,0.062534586
2014,1,407,노원,37.62186,127.09192,0.03716786
2014,1,408,동대문,37.58463,127.06036,0.031878445
2014,1,409,중랑,37.58551,127.08682,0.014853616
2014,1,410,기상청,37.4933,126.91746,0.016220788
2014,1,411,마포,37.55165,126.92915,0.04856203
2014,1,412,서대문,37.57047,126.94078,0.088919446
2014,1,413,광진,37.53344,127.08601,0.04186445
2014,1,414,성북,37.61134,126.99981,0.043492723
2014,1,415,용산,37.51955,126.97629,0.057935655
2014,1,416,은평,37.64647,126.94273,0.038999915
2014,1,417,금천,37.46551,126.90016,0.08337592
2014,1,418,한강,37.52489,126.93904,0.008674917
2014,1,419,중구,37.55236,126.98736,0.013511849
2014,1,421,성동,37.54721,127.03885,0.003971771
2014,1,422,북악산,37.60344,126.98437,0.03557521
2014,1,423,구로,37.49328,126.82629,0.04234873
2014,1,424,강북,37.63801,127.00981,0.02148485
2014,1,425,남현,37.46347,126.98154,0.101886265
2014,1,509,관악,37.45284,126.95015,0.039495476
2014,1,510,영등포,37.52706,126.90705,0.07824402
2014,1,889,현충원,37.50036,126.97652,0.045064438
2016,3,400,강남,37.4982,127.08162,0.119292215
2016,3,401,서초,37.48462,127.02601,0.084965624
2016,3,402,강동,37.55556,127.14498,0.07462442
2016,3,403,송파,37.51151,127.0967,0.05071545
2016,3,404,강서,37.5739,126.82953,0.07901698
2016,3,405,양천,37.52823,126.87937,0.072533935
2016,3,406,도봉,37.66557,127.03042,0.088341415
2016,3,407,노원,37.62186,127.09192,0.07322396
2016,3,408,동대문,37.58463,127.06036,0.05747432
2016,3,409,중랑,37.58551,127.08682,0.037497886
2016,3,410,기상청,37.4933,126.91746,0.055919975
2016,3,411,마포,37.55165,126.92915,0.087015636
2016,3,412,서대문,37.57047,126.94078,0.12849878
2016,3,413,광진,37.53344,127.08601,0.07189114
2016,3,414,성북,37.61134,126.99981,0.06483359
2016,3,415,용산,37.51955,126.97629,0.070452064
2016,3,416,은평,37.64647,126.94273,0.08633894
2016,3,417,금천,37.46551,126.90016,0.10166818
2016,3,418,한강,37.52489,126.93904,0.03740865
2016,3,419,중구,37.55236,126.98736,0.021270588
2016,3,421,성동,37.54721,127.03885,0.051764607
2016,3,422,북악산,37.60344,126.98437,0.06899237
2016,3,423,구로,37.49328,126.82629,0.05846154
2016,3,424,강북,37.63801,127.00981,0.078800246
2016,3,425,남현,37.46347,126.98154,0.09775401
2016,3,509,관악,37.45284,126.95015,0.075511515
2016,3,510,영등포,37.52706,126.90705,0.08870605
