Year,Month,Station_Code,Station_Name,Latitude,Longitude,LST
2019,1,412,서대문,37.57047,126.94078,2.4478001733588144
2019,1,413,광진,37.53344,127.08601,4.774045753787846
2019,1,414,성북,37.61134,126.99981,4.73583931425344
2019,1,415,용산,37.51955,126.97629,4.405191987062437
2019,1,416,은평,37.64647,126.94273,3.1541758060687357
2019,1,417,금천,37.46551,126.90016,5.341614388042558
2019,1,418,한강,37.52489,126.93904,4.783955911499106
2019,1,419,중구,37.55236,126.98736,-0.20921861177043866
2019,1,421,성동,37.54721,127.03885,4.162045231334787
2019,1,422,북악산,37.60344,126.98437,1.4199621361515824
2019,1,423,구로,37.49328,126.82629,6.874357194660263
2019,1,424,강북,37.63801,127.00981,2.793680835002249
2019,1,425,남현,37.46347,126.98154,5.1131603056667245
2019,1,509,관악,37.45284,126.95015,2.0994189502416702
2019,1,510,영등포,37.52706,126.90705,5.184537714439671
2019,1,889,현충원,37.50036,126.97652,4.2932229966014575
2022,6,400,강남,37.4982,127.08162,40.81452549990877
2022,6,401,서초,37.48462,127.02601,26.709017364665044
2022,6,402,강동,37.55556,127.14498,34.176946980492175
2022,6,403,송파,37.51151,127.0967,46.76910125675738
2022,6,404,강서,37.5739,126.82953,44.23238890191783
2022,6,405,양천,37.52823,126.87937,31.580223011213263
2022,6,406,도봉,37.66557,127.03042,33.32590979993523
2022,6,407,노원,37.62186,127.09192,27.77631211299598
2022,6,408,동대문,37.58463,127.06036,16.804074180688986
2022,6,409,중랑,37.58551,127.08682,44.07468414503052
2022,6,410,기상청,37.4933,126.91746,27.367040786241205
2022,6,411,마포,37.55165,126.92915,24.133404739037644
2022,6,412,서대문,37.57047,126.94078,26.803764146068545
2022,6,413,광진,37.53344,127.08601,41.21786008561986
2022,6,414,성북,37.61134,126.99981,40.70039866262664
2022,6,415,용산,37.51955,126.97629,47.000769467480325
2022,6,416,은평,37.64647,126.94273,18.069932291819782
2022,6,417,금천,37.46551,126.90016,39.433158917184585
2022,6,418,한강,37.52489,126.93904,32.42531837801329
2022,6,419,중구,37.55236,126.98736,32.826857215873076
2022,6,421,성동,37.54721,127.03885,29.720023047991674
2022,6,422,북악산,37.60344,126.98437,33.33544733460559
2022,6,423,구로,37.49328,126.82629,45.73931590314709
2022,6,424,강북,37.63801,127.00981,36.73534495647709
2022,6,425,남현,37.46347,126.98154,30.69479269370413
2022,6,509,관악,37.45284,126.95015,36.46162483298423
2022,6,510,영등포,37.52706,126.90705,24.264050464429545
2022,6,889,현충원,37.50036,126.97652,42.47884522836375
2020,4,400,강남,37.4982,127.08162,29.83610775860808
2020,4,401,서초,37.48462,127.02601,28.895216047635074
2020,4,402,강동,37.55556,127.14498,27.264881537017516
2020,4,403,송파,37.51151,127.0967,34.97056974589913
2020,4,404,강서,37.5739,126.82953,31.531663825867156
2020,4,405,양천,37.52823,126.87937,31.895797058492178
2020,4,406,도봉,37.66557,127.03042,27.137324225150792
2020,4,407,노원,37.62186,127.09192,31.423421087640975
2020,4,408,동대문,37.58463,127.06036,29.086095825122015
2020,4,409,중랑,37.58551,127.08682,31.468238258067913
2020,4,410,기상청,37.4933,126.91746,27.389998975043056
2020,4,411,마포,37.55165,126.92915,26.95691873356151
2020,4,412,서대문,37.57047,126.94078,24.479094321634477
2020,4,413,광진,37.53344,127.08601,29.29853377763095
2020,4,414,성북,37.61134,126.99981,29.54790681867371
2020,4,415,용산,37.51955,126.97629,30.979024485399464
2020,4,416,은평,37.64647,126.94273,27.91971262028568
2020,4,417,금천,37.46551,126.90016,30.509847661251115
2020,4,418,한강,37.52489,126.93904,26.509246112488484
2020,4,419,중구,37.55236,126.98736,22.890075459533534
2020,4,421,성동,37.54721,127.03885,29.626636333988472
2020,4,422,북악산,37.60344,126.98437,25.56378847832798
2020,4,423,구로,37.49328,126.82629,32.67258113168532
2020,4,424,강북,37.63801,127.00981,27.89042194737226
2020,4,425,남현,37.46347,126.98154,28.305876306021332
2020,4,509,관악,37.45284,126.95015,23.81950816201902
2020,4,510,영등포,37.52706,126.90705,30.953562857362385
